"ano_aih";"mes_aih";"codigo_municipio_dv";"codigo_municipio";"nome_municipio";"regiao_codigo";"regiao_nome";"uf_codigo";"uf_sigla";"uf_nome";"municipio_capital";"numero_habitantes";"faixa_populacao";"faixa_populacao_fpm";"qtd_0101";"qtd_01";"qtd_0201";"qtd_0202";"qtd_0203";"qtd_0204";"qtd_0205";"qtd_0206";"qtd_0207";"qtd_0208";"qtd_0209";"qtd_0210";"qtd_0211";"qtd_0212";"qtd_0214";"qtd_02";"qtd_0301";"qtd_0302";"qtd_0303";"qtd_0304";"qtd_0305";"qtd_0306";"qtd_0307";"qtd_0308";"qtd_0309";"qtd_0310";"qtd_03";"qtd_0401";"qtd_0402";"qtd_0403";"qtd_0404";"qtd_0405";"qtd_0406";"qtd_0407";"qtd_0408";"qtd_0409";"qtd_0410";"qtd_0411";"qtd_0412";"qtd_0413";"qtd_0414";"qtd_0415";"qtd_0416";"qtd_0418";"qtd_04";"qtd_0501";"qtd_0502";"qtd_0503";"qtd_0504";"qtd_0505";"qtd_0506";"qtd_05";"qtd_0603";"qtd_06";"qtd_0702";"qtd_07";"qtd_0801";"qtd_0802";"qtd_08";"qtd_total";"vl_0201";"vl_0202";"vl_0203";"vl_0204";"vl_0205";"vl_0206";"vl_0207";"vl_0208";"vl_0209";"vl_0210";"vl_0211";"vl_0212";"vl_0214";"vl_02";"vl_0301";"vl_0302";"vl_0303";"vl_0304";"vl_0305";"vl_0306";"vl_0307";"vl_0308";"vl_0309";"vl_0310";"vl_03";"vl_0401";"vl_0402";"vl_0403";"vl_0404";"vl_0405";"vl_0406";"vl_0407";"vl_0408";"vl_0409";"vl_0410";"vl_0411";"vl_0412";"vl_0413";"vl_0414";"vl_0415";"vl_0416";"vl_0417";"vl_0418";"vl_04";"vl_0501";"vl_0502";"vl_0503";"vl_0504";"vl_0505";"vl_0506";"vl_05";"vl_0603";"vl_06";"vl_0702";"vl_07";"vl_0801";"vl_0802";"vl_08";"vl_total";"longitude";"latitude"
"2024";"01";"3104502";"310450";"Arinos";"           3";"Sudeste";"31";"MG";"Minas Gerais";"Não";"           .";"";"";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          15";"           .";"           3";"           .";"           .";"           4";"           .";"           8";"           .";"          30";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           5";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           5";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          22";"          57";"          22";"          57";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     6644,35";"           .";"      655,89";"           .";"           .";"      797,32";"           .";"      3547,2";"    11644,76";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     2728,65";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     2728,65";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         176";"         176";"    14549,41";"  -46,107752";"  -15,921772"
"2024";"01";"3109303";"310930";"Buritis";"           3";"Sudeste";"31";"MG";"Minas Gerais";"Não";"           .";"";"";"           .";"           .";"           .";"           7";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         209";"          21";"           .";"          33";"           .";"           5";"           .";"           .";"           2";"           .";"           6";"           .";"         255";"           .";"           .";"           .";"           .";"           .";"           9";"           .";"          23";"           .";"          10";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          42";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          31";"         349";"          31";"         349";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     1915,68";"           .";"    13938,56";"           .";"      918,15";"           .";"           .";"      383,07";"           .";"     3367,26";"    20522,72";"           .";"           .";"           .";"           .";"           .";"           .";"     4388,46";"           .";"    11353,62";"           .";"     4926,27";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"    20668,35";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         248";"         248";"    41439,07";"  -46,424041";"  -15,626505"
"2024";"01";"3109451";"310945";"Cabeceira Grande";"           3";"Sudeste";"31";"MG";"Minas Gerais";"Não";"           .";"";"";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"  -47,084989";"  -16,028275"
"2024";"01";"3170404";"317040";"Unaí";"           3";"Sudeste";"31";"MG";"Minas Gerais";"Não";"           .";"";"";"           .";"           .";"           .";"        3241";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         263";"          67";"        2173";"        3636";"        2600";"         268";"           6";"           9";"          71";"           .";"          44";"           .";"           2";"         529";"        5173";"           .";"           .";"           .";"           .";"           .";"          13";"          29";"           5";"           .";"          74";"           1";"           .";"           .";"           2";"           .";"           .";"           .";"         653";"           .";"           .";"           .";"           .";"           .";"          15";"           .";"           .";"          15";"           .";"           .";"        1636";"       11113";"        1636";"       11113";"           .";"         330";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     1141,68";"          65";"     1536,68";"     8482,77";"       16510";"     53683,6";"      2012,1";"     1582,12";"      595,69";"           .";"     8097,08";"           .";"     4369,61";"    95332,97";"     17139,6";"           .";"           .";"           .";"           .";"           .";"     6751,27";"    11449,15";"      1117,5";"           .";"    35182,21";"       54,97";"           .";"           .";"      916,71";"           .";"     3793,16";"           .";"    76404,57";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"      9067,6";"      9067,6";"           .";"           .";"           .";"       92416";"       92416";"   274757,82";"  -46,899957";"  -16,359008"
"2024";"01";"5200100";"520010";"Abadiânia";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"  -48,718812";"  -16,182672"
"2024";"01";"5200175";"520017";"Água Fria de Goiás";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"  -47,782212";"  -14,985535"
"2024";"01";"5200258";"520025";"Águas Lindas de Goiás";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"  -48,283444";"  -15,737939"
"2024";"01";"5200308";"520030";"Alexânia";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"         395";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           8";"           .";"          51";"         413";"           .";"          40";"           .";"           1";"           .";"           .";"           1";"           .";"           .";"           .";"          93";"           .";"           .";"           .";"           .";"           .";"          14";"           .";"          13";"           .";"           6";"           .";"           1";"           .";"           .";"           .";"           .";"           .";"          34";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         540";"           .";"         540";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     2273,52";"           .";"    14673,48";"           .";"       204,5";"           .";"           .";"      199,33";"           .";"           .";"    17350,83";"           .";"           .";"           .";"           .";"           .";"           .";"    13112,64";"           .";"     8946,33";"           .";"     2908,27";"           .";"      621,84";"           .";"           .";"           .";"         588";"           .";"    26177,08";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"    43527,91";"  -48,509636";"  -16,086168"
"2024";"01";"5200605";"520060";"Alto Paraíso de Goiás";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"           6";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           1";"           .";"          82";"           7";"           .";"          14";"           2";"           .";"           .";"           .";"           .";"           .";"           2";"           .";"         100";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         107";"           .";"         107";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"      451,53";"           .";"     5013,45";"      696,87";"           .";"           .";"           .";"           .";"           .";"      864,82";"     7026,67";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     7026,67";"  -47,519093";"  -14,136245"
"2024";"01";"5200803";"520080";"Alvorada do Norte";"           5";"Centro-Oeste";"52";"GO";"Goiás";"Não";"           .";"";"";"           .";"           .";"           .";"         257";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         207";"         267";"           .";"          30";"           .";"           1";"           .";"           .";"           1";"           .";"           3";"           .";"         242";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           3";"           .";"          10";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          13";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         108";"         630";"         108";"         630";"           .";"          36";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"          36";"     1484,08";"           .";"     8092,13";"           .";"      162,58";"           .";"           .";"      128,07";"           .";"     1297,23";"    11164,09";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     1370,38";"           .";"      5320,8";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"     6691,18";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"           .";"         864";"         864";"    18755,27";"  -46,515638";"  -14,482839"
